dataset_id,species_id,protocol_id,start_date,end_date
,131,227,2012-02-28,
,132,43,1970-01-01,2011-03-20
,132,203,2011-03-21,2012-02-27
,132,227,2012-02-28,
,133,43,1970-01-01,2011-03-20
,133,203,2011-03-21,2012-02-27
,133,227,2012-02-28,
,134,43,1970-01-01,2011-03-20
,134,203,2011-03-21,2012-02-27
,134,227,2012-02-28,
,135,43,1970-01-01,2011-03-20
,135,203,2011-03-21,2012-02-27
,135,227,2012-02-28,
,136,43,1970-01-01,2011-03-20
,136,203,2011-03-21,2012-02-27
,136,227,2012-02-28,
,137,43,1970-01-01,2011-03-20
,137,203,2011-03-21,2012-02-27
,137,227,2012-02-28,
,138,43,1970-01-01,2011-03-20
,138,203,2011-03-21,2012-02-27
,138,227,2012-02-28,
,139,43,1970-01-01,2011-03-20
,139,203,2011-03-21,2012-02-27
,139,227,2012-02-28,
,140,43,1970-01-01,2011-03-20
,140,203,2011-03-21,2012-02-27
,140,227,2012-02-28,
,141,43,1970-01-01,2011-03-20
,141,203,2011-03-21,2012-02-27
,141,227,2012-02-28,
,142,43,1970-01-01,2011-03-20
,142,203,2011-03-21,2012-02-27
,142,227,2012-02-28,
,143,43,1970-01-01,2011-03-20
,143,203,2011-03-21,2012-02-27
,143,227,2012-02-28,
,144,38,1970-01-01,2011-03-20
,144,200,2011-03-21,2012-02-27
,144,223,2012-02-28,
,145,38,1970-01-01,2011-03-20
,145,201,2011-03-21,2012-02-27
,145,224,2012-02-28,
,146,38,1970-01-01,2011-03-20
,146,201,2011-03-21,2012-02-27
,146,224,2012-02-28,
,147,38,1970-01-01,2011-03-20
,147,200,2011-03-21,2012-02-27
,147,223,2012-02-28,
,148,38,1970-01-01,2011-03-20
,148,200,2011-03-21,2012-02-27
,148,223,2012-02-28,
,149,38,1970-01-01,2011-03-20
,149,200,2011-03-21,2012-02-27
,149,223,2012-02-28,
,150,44,1970-01-01,2011-03-20
,150,202,2011-03-21,2012-02-27
,150,225,2012-02-28,
,151,38,1970-01-01,2011-03-20
,151,200,2011-03-21,2012-02-27
,151,223,2012-02-28,
,152,38,1970-01-01,2011-03-20
,152,201,2011-03-21,2012-02-27
,152,224,2012-02-28,
,153,38,1970-01-01,2011-03-20
,153,201,2011-03-21,2012-02-27
,153,224,2012-02-28,
,154,38,1970-01-01,2011-03-20
,154,200,2011-03-21,2012-02-27
,154,223,2012-02-28,
,155,38,1970-01-01,2011-03-20
,155,200,2011-03-21,2012-02-27
,155,223,2012-02-28,
,156,38,1970-01-01,2011-03-20
,156,200,2011-03-21,2012-02-27
,156,223,2012-02-28,
,157,38,1970-01-01,2011-03-20
,157,200,2011-03-21,2012-02-27
,157,223,2012-02-28,
,158,38,1970-01-01,2011-03-20
,158,200,2011-03-21,2012-02-27
,158,223,2012-02-28,
,159,38,1970-01-01,2011-03-20
,159,200,2011-03-21,2012-02-27
,159,223,2012-02-28,
,160,38,1970-01-01,2011-03-20
,160,219,2011-03-21,2012-02-27
,160,223,2012-02-28,
,161,38,1970-01-01,2011-03-20
,161,219,2011-03-21,2012-02-27
,161,223,2012-02-28,
13,161,311,2009-01-01,
,162,38,1970-01-01,2011-03-20
,162,200,2011-03-21,2012-02-27
,162,223,2012-02-28,
,163,38,1970-01-01,2011-03-20
,163,200,2011-03-21,2012-02-27
,163,223,2012-02-28,
,164,38,1970-01-01,2011-03-20
,164,200,2011-03-21,2012-02-27
,164,223,2012-02-28,
,165,38,1970-01-01,2011-03-20
,165,200,2011-03-21,2012-02-27
,165,223,2012-02-28,
,166,38,1970-01-01,2011-03-20
,166,200,2011-03-21,2012-02-27
,166,223,2012-02-28,
13,166,311,2009-01-01,
,167,38,1970-01-01,2011-03-20
,167,200,2011-03-21,2012-02-27
,167,223,2012-02-28,
,168,38,1970-01-01,2011-03-20
,168,200,2011-03-21,2012-02-27
,168,223,2012-02-28,
,169,38,1970-01-01,2011-03-20
,169,200,2011-03-21,2012-02-27
,169,223,2012-02-28,
,170,38,1970-01-01,2011-03-20
,170,200,2011-03-21,2012-02-27
,170,223,2012-02-28,
,171,38,1970-01-01,2011-03-20
,171,200,2011-03-21,2012-02-27
,171,223,2012-02-28,
,172,38,1970-01-01,2011-03-20
,172,200,2011-03-21,2012-02-27
,172,223,2012-02-28,
,173,38,1970-01-01,2011-03-20
,173,200,2011-03-21,2012-02-27
,173,223,2012-02-28,
9,173,288,2011-03-21,2012-02-27
9,173,289,2012-02-28,
9,173,296,1970-01-01,2011-03-20
13,173,311,2009-01-01,
,174,38,1970-01-01,2011-03-20
,174,201,2011-03-21,2012-02-27
,174,224,2012-02-28,
,175,38,1970-01-01,2011-03-20
,175,200,2011-03-21,2012-02-27
,175,223,2012-02-28,
,176,38,1970-01-01,2011-03-20
,176,200,2011-03-21,2012-02-27
,176,223,2012-02-28,
,177,38,1970-01-01,2011-03-20
,177,200,2011-03-21,2012-02-27
,177,223,2012-02-28,
,178,38,1970-01-01,2011-03-20
,178,200,2011-03-21,2012-02-27
,178,223,2012-02-28,
,179,38,1970-01-01,2011-03-20
,179,200,2011-03-21,2012-02-27
,179,223,2012-02-28,
,180,38,1970-01-01,2011-03-20
,180,200,2011-03-21,2012-02-27
,180,223,2012-02-28,
,181,38,1970-01-01,2011-03-20
,181,200,2011-03-21,2012-02-27
,181,223,2012-02-28,
,182,38,1970-01-01,2011-03-20
,182,200,2011-03-21,2012-02-27
,182,223,2012-02-28,
,183,38,1970-01-01,2011-03-20
,183,200,2011-03-21,2012-02-27
,183,223,2012-02-28,
,184,38,1970-01-01,2011-03-20
,184,200,2011-03-21,2012-02-27
,184,223,2012-02-28,
,185,38,1970-01-01,2011-03-20
,185,200,2011-03-21,2012-02-27
,185,223,2012-02-28,
,186,38,1970-01-01,2011-03-20
,186,200,2011-03-21,2012-02-27
,186,223,2012-02-28,
,187,38,1970-01-01,2011-03-20
,187,200,2011-03-21,2012-02-27
,187,223,2012-02-28,
,188,38,1970-01-01,2011-03-20
,188,200,2011-03-21,2012-02-27
,188,223,2012-02-28,
,189,38,1970-01-01,2011-03-20
,189,200,2011-03-21,2012-02-27
,189,223,2012-02-28,
,190,38,1970-01-01,2011-03-20
,190,200,2011-03-21,2012-02-27
,190,223,2012-02-28,
,191,38,1970-01-01,2011-03-20
,191,200,2011-03-21,2012-02-27
,191,223,2012-02-28,
,192,38,1970-01-01,2011-03-20
,192,219,2011-03-21,2012-02-27
,192,223,2012-02-28,
9,192,287,2011-03-21,2012-02-27
9,192,289,2012-02-28,
9,192,296,1970-01-01,2011-03-20
,193,38,1970-01-01,2011-03-20
,193,219,2011-03-21,2012-02-27
,193,223,2012-02-28,
,194,38,1970-01-01,2011-03-20
,194,219,2011-03-21,2012-02-27
,194,223,2012-02-28,
9,194,287,2011-03-21,2012-02-27
9,194,289,2012-02-28,
9,194,296,1970-01-01,2011-03-20
,195,38,1970-01-01,2011-03-20
,195,200,2011-03-21,2012-02-27
,195,223,2012-02-28,
,197,38,1970-01-01,2011-03-20
,197,200,2011-03-21,2012-02-27
,197,223,2012-02-28,
,198,38,1970-01-01,2011-03-20
,198,200,2011-03-21,2012-02-27
,198,223,2012-02-28,
,199,38,1970-01-01,2011-03-20
,199,200,2011-03-21,2012-02-27
,199,223,2012-02-28,
,200,38,1970-01-01,2011-03-20
,200,200,2011-03-21,2012-02-27
,200,223,2012-02-28,
,201,36,1970-01-01,2011-03-20
,201,209,2011-03-21,2012-02-27
,201,233,2012-02-28,
,202,38,1970-01-01,2011-03-20
,202,200,2011-03-21,2012-02-27
,202,223,2012-02-28,
,203,38,1970-01-01,2011-03-20
,203,200,2011-03-21,2012-02-27
,203,223,2012-02-28,
,204,38,1970-01-01,2011-03-20
,204,200,2011-03-21,2012-02-27
,204,223,2012-02-28,
,205,38,1970-01-01,2011-03-20
,205,200,2011-03-21,2012-02-27
,205,223,2012-02-28,
,206,36,1970-01-01,2011-03-20
,206,209,2011-03-21,2012-02-27
,206,233,2012-02-28,
,207,38,1970-01-01,2011-03-20
,207,200,2011-03-21,2012-02-27
,207,223,2012-02-28,
,208,38,1970-01-01,2011-03-20
,208,200,2011-03-21,2012-02-27
,208,223,2012-02-28,
,209,38,1970-01-01,2011-03-20
,209,200,2011-03-21,2012-02-27
,209,223,2012-02-28,
,210,50,1970-01-01,2011-03-20
,210,217,2011-03-21,2012-02-27
,210,243,2012-02-28,
,211,36,1970-01-01,2011-03-20
,211,209,2011-03-21,2012-02-27
,211,233,2012-02-28,
,212,38,1970-01-01,2011-03-20
,212,200,2011-03-21,2012-02-27
,212,223,2012-02-28,
,213,38,1970-01-01,2011-03-20
,213,200,2011-03-21,2012-02-27
,213,223,2012-02-28,
,214,36,1970-01-01,2011-03-20
,214,220,2011-03-21,2012-02-27
,214,233,2016-02-11,
,214,244,2012-02-28,2016-02-10
,215,50,1970-01-01,2011-03-20
,215,217,2011-03-21,2012-02-27
,215,243,2012-02-28,
,216,36,1970-01-01,2011-03-20
,216,220,2011-03-21,2012-02-27
,216,233,2016-02-11,
,216,244,2012-02-28,2016-02-10
,217,36,1970-01-01,2011-03-20
,217,209,2011-03-21,2012-02-27
,217,233,2012-02-28,
,218,41,1970-01-01,2011-03-20
,218,214,2011-03-21,2012-02-27
,218,238,2012-02-28,
,219,48,1970-01-01,2011-03-20
,219,206,2011-03-21,2012-02-27
,219,230,2012-02-28,
,220,48,1970-01-01,2011-03-20
,220,206,2011-03-21,2012-02-27
,220,230,2012-02-28,
,221,41,1970-01-01,2011-03-20
,221,214,2011-03-21,2012-02-27
,221,238,2012-02-28,2016-02-10
,221,242,2016-02-11,
,222,53,1970-01-01,2011-03-20
,222,216,2011-03-21,2012-02-27
,222,240,2012-02-28,
,223,38,1970-01-01,2011-03-20
,223,200,2011-03-21,2012-02-27
,223,223,2012-02-28,
,224,38,1970-01-01,2011-03-20
,224,200,2011-03-21,2012-02-27
,224,223,2012-02-28,
,225,36,1970-01-01,2011-03-20
,225,212,2011-03-21,2012-02-27
,225,236,2012-02-28,2016-02-10
,225,321,2016-02-11,
,226,41,1970-01-01,2011-03-20
,226,214,2011-03-21,2012-02-27
,226,238,2012-02-28,
,227,36,1970-01-01,2011-03-20
,227,209,2011-03-21,2012-02-27
,227,233,2012-02-28,
,228,36,1970-01-01,2011-03-20
,228,209,2011-03-21,2012-02-27
,228,233,2012-02-28,
,229,54,1970-01-01,2011-03-20
,229,157,2011-03-21,2012-02-27
,229,249,2012-02-28,
,230,55,1970-01-01,2011-03-20
,230,156,2011-03-21,2012-02-27
,230,247,2012-02-28,
,231,55,1970-01-01,2011-03-20
,231,155,2011-03-21,2012-02-27
,231,246,2012-02-28,
,232,56,1970-01-01,2011-03-20
,232,156,2011-03-21,2012-02-27
,232,247,2012-02-28,
,233,55,1970-01-01,2011-03-20
,233,155,2011-03-21,2012-02-27
,233,246,2012-02-28,
,234,55,1970-01-01,2011-03-20
,234,155,2011-03-21,2012-02-27
,234,246,2012-02-28,
9,234,293,1970-01-01,2011-03-20
9,234,294,2011-03-21,2012-02-27
9,234,295,2012-02-28,
,235,55,1970-01-01,2011-03-20
,235,155,2011-03-21,2012-02-27
,235,246,2012-02-28,
,236,57,1970-01-01,2011-03-20
,236,158,2011-03-21,2012-02-27
,236,250,2012-02-28,
,237,55,1970-01-01,2011-03-20
,237,155,2011-03-21,2012-02-27
,237,246,2012-02-28,
,238,55,1970-01-01,2011-03-20
,238,155,2011-03-21,2012-02-27
,238,246,2012-02-28,
,239,58,1970-01-01,2011-03-20
,239,190,2011-03-21,2017-02-05
,239,360,2017-02-06,
,240,59,1970-01-01,2011-03-20
,240,177,2011-03-21,2017-02-05
,240,355,2017-02-06,
,241,60,1970-01-01,2011-03-20
,241,177,2011-03-21,2017-02-05
,241,348,2017-02-06,
,242,61,1970-01-01,2011-03-20
,242,174,2011-03-21,2017-02-05
,242,362,2017-02-06,
,243,62,1970-01-01,2011-03-20
,243,183,2011-03-21,2017-02-05
,243,361,2017-02-06,
,244,63,1970-01-01,2011-03-20
,244,187,2011-03-21,2017-02-05
,244,360,2017-02-06,
,245,60,1970-01-01,2011-03-20
,245,174,2011-03-21,2017-02-05
9,245,298,1970-01-01,2011-03-20
9,245,299,2011-03-21,
,245,353,2017-02-06,
,246,60,1970-01-01,2011-03-20
,246,174,2011-03-21,2017-02-05
,246,353,2017-02-06,
,247,64,1970-01-01,2011-03-20
,247,176,2011-03-21,2017-02-05
,247,362,2017-02-06,
,248,65,1970-01-01,2011-03-20
,248,182,2011-03-21,2017-02-05
,248,345,2017-02-06,
,249,68,1970-01-01,2011-03-20
,249,133,2011-03-21,
,250,68,1970-01-01,2011-03-20
,250,133,2011-03-21,
,251,69,1970-01-01,2011-03-20
,251,134,2011-03-21,
,252,71,1970-01-01,2011-03-20
,252,136,2011-03-21,
,253,66,1970-01-01,2011-03-20
